corpus     14,116 documents, 156,151 terms
queries    30 total, 29 judged

configuration                         P@10     MRR  median ms    p95 ms   judged
--------------------------------------------------------------------------------
tf-idf (baseline)                    0.434   0.651      175.8     786.1       29
bm25 k1=0.9 b=0                      0.455   0.599      539.8    2414.1       29
bm25 k1=0.9 b=0.3                    0.645   0.856      331.9    1375.2       29
bm25 k1=0.9 b=0.5                    0.738   0.948      298.7     848.2       29
bm25 k1=0.9 b=0.75                   0.866   0.983      241.4     792.6       29
bm25 k1=0.9 b=1                      0.693   0.852      212.3     761.8       29
bm25 k1=1.2 b=0                      0.455   0.599      537.3    2408.1       29
bm25 k1=1.2 b=0.3                    0.645   0.851      332.8    1389.1       29
bm25 k1=1.2 b=0.5                    0.738   0.948      300.7     857.7       29
bm25 k1=1.2 b=0.75                   0.879   0.983      237.5     789.1       29
bm25 k1=1.2 b=1                      0.693   0.869      212.8     751.6       29
bm25 k1=1.5 b=0                      0.455   0.599      552.9    2421.1       29
bm25 k1=1.5 b=0.3                    0.645   0.851      349.6    1383.4       29
bm25 k1=1.5 b=0.5                    0.741   0.948      309.5     842.7       29
bm25 k1=1.5 b=0.75                   0.872   0.983      236.1     786.1       29
bm25 k1=1.5 b=1                      0.700   0.875      222.8     756.8       29
bm25 k1=2 b=0                        0.459   0.602      546.2    2395.5       29
bm25 k1=2 b=0.3                      0.645   0.851      351.0    1452.6       29
bm25 k1=2 b=0.5                      0.738   0.948      298.1     830.0       29
bm25 k1=2 b=0.75                     0.859   0.983      236.6     794.5       29
bm25 k1=2 b=1                        0.703   0.875      215.5     765.3       29
